City,Country,Latitude,Longitude,complete_years,uncertainty_max_months,variability_max_months,exact_match,circular_distance,uncertainty_tie,variability_tie,split
Bucharest,Romania,44.20N,26.83E,97,1,12,False,1,False,False,development
Buffalo,United States,42.59N,78.55W,83,1,2,False,1,False,False,development
Burgos,Spain,42.59N,4.36W,97,1,1,True,0,False,False,development
Bydgoszcz,Poland,53.84N,17.73E,97,1,1,True,0,False,False,development
Cagliari,Italy,39.38N,8.32E,97,1,1,True,0,False,False,development
Calcutta,India,23.31N,88.25E,43,1,1,True,0,False,False,development
Calgary,Canada,50.63N,112.82W,35,1,1,True,0,False,False,development
Camagüey,Cuba,21.70N,78.75W,27,12,12,True,0,False,False,development
Cambridge,United Kingdom,52.24N,0.00W,97,1,1,True,0,False,False,development
Campeche,Mexico,20.09N,90.43W,22,12,12,True,0,False,False,development
Cancún,Mexico,21.70N,87.40W,27,12,12,True,0,False,False,development
Cap Haïtien,Haiti,20.09N,71.66W,23,12,12,True,0,False,False,development
Cardiff,United Kingdom,52.24N,2.63W,97,2,1,False,1,False,False,development
Carmen,Mexico,18.48N,91.27W,22,3,12,False,3,False,False,development
Carrefour,Haiti,18.48N,72.68W,20,12,12,True,0,False,False,development
Cary,United States,36.17N,79.56W,81,1,2,False,1,False,False,development
Cedar Rapids,United States,42.59N,91.64W,83,1,2,False,1,False,False,development
Chandpur,Bangladesh,23.31N,90.00E,43,1,1,True,0,False,False,development
Changchun,China,44.20N,125.22E,28,12,1,False,1,False,False,development
Chaoyang,China,40.99N,121.42E,28,2,12,False,2,False,False,development
Charleroi,Belgium,50.63N,3.80E,97,1,1,True,0,False,False,development
Chas,India,23.31N,86.50E,43,1,1,True,0,False,False,development
Chattanooga,United States,34.56N,85.62W,81,1,2,False,1,False,False,development
Chavakachcheri,Sri Lanka,8.84N,80.27E,43,2,7,False,5,False,False,development
Cheltenham,United Kingdom,52.24N,2.63W,97,2,1,False,1,False,False,development
Chernivtsi,Ukraine,49.03N,26.94E,97,1,12,False,1,False,False,development
Chesapeake,United States,36.17N,75.58W,81,1,2,False,1,False,False,development
Chetumal,Mexico,18.48N,87.89W,22,12,12,True,0,False,False,development
Chhatarpur,India,24.92N,79.80E,43,"1,2",1,True,0,True,False,development
Chhindwara,India,21.70N,78.75E,43,1,1,True,0,False,False,development
Chisinau,Moldova,47.42N,29.61E,97,1,12,False,1,False,False,development
Chita,Russia,52.24N,112.99E,29,1,1,True,0,False,False,development
Chitradurga,India,13.66N,76.79E,43,1,7,False,6,False,False,development
Choloma,Honduras,15.27N,87.50W,21,12,12,True,0,False,False,development
Chorzow,Poland,50.63N,19.01E,97,1,1,True,0,False,False,development
Churu,India,28.13N,75.45E,43,3,1,False,2,False,False,development
Ciego De Ávila,Cuba,21.70N,78.75W,27,12,12,True,0,False,False,development
Clarksville,United States,36.17N,87.51W,81,1,2,False,1,False,False,development
Cleveland,United States,40.99N,80.95W,81,1,2,False,1,False,False,development
Coimbra,Portugal,40.99N,8.52W,97,1,1,True,0,False,False,development
Colchester,United Kingdom,52.24N,0.00W,97,1,1,True,0,False,False,development
Colombo,Sri Lanka,7.23N,80.27E,43,2,1,False,1,False,False,development
Columbus,United States,32.95N,85.21W,81,1,2,False,1,False,False,development
Columbus,United States,39.38N,83.24W,81,1,2,False,1,False,False,development
Cork,Ireland,52.24N,7.88W,97,1,1,True,0,False,False,development
Corpus Christi,United States,28.13N,97.27W,28,1,11,False,2,False,False,development
Cottbus,Germany,52.24N,13.14E,97,1,1,True,0,False,False,development
Coventry,United Kingdom,52.24N,2.63W,97,2,1,False,1,False,False,development
