City,Country,Latitude,Longitude,complete_years,uncertainty_max_months,variability_max_months,exact_match,circular_distance,uncertainty_tie,variability_tie,split
Champdani,India,23.31N,88.25E,43,1,1,True,0,False,False,confirmation
Chandannagar,India,23.31N,88.25E,43,1,1,True,0,False,False,confirmation
Chandausi,India,28.13N,79.09E,43,3,1,False,2,False,False,confirmation
Chandrapur,India,20.09N,78.48E,43,1,1,True,0,False,False,confirmation
Changji,China,44.20N,87.20E,28,1,1,True,0,False,False,confirmation
Charleston,United States,32.95N,79.47W,81,1,2,False,1,False,False,confirmation
Charlotte,United States,34.56N,81.73W,81,1,2,False,1,False,False,confirmation
Cheboksary,Russia,55.45N,48.19E,95,1,12,False,1,False,False,confirmation
Chelmsford,United Kingdom,52.24N,0.00W,97,1,1,True,0,False,False,confirmation
Chelyabinsk,Russia,55.45N,62.36E,45,1,12,False,1,False,False,confirmation
Chemnitz,Germany,50.63N,13.94E,97,2,1,False,1,False,False,confirmation
Chengde,China,40.99N,117.16E,28,2,12,False,2,False,False,confirmation
Cherepovets,Russia,58.66N,36.92E,97,1,12,False,1,False,False,confirmation
Cherkasy,Ukraine,49.03N,31.84E,97,1,12,False,1,False,False,confirmation
Cherkessk,Russia,44.20N,42.48E,72,1,12,False,1,False,False,confirmation
Chernihiv,Ukraine,52.24N,31.53E,97,1,12,False,1,False,False,confirmation
Chhapra,India,26.52N,84.18E,43,1,1,True,0,False,False,confirmation
Chicago,United States,42.59N,87.27W,83,1,2,False,1,False,False,confirmation
Chifeng,China,42.59N,120.00E,28,2,1,False,1,False,False,confirmation
Chikmagalur,India,13.66N,75.14E,43,2,1,False,1,False,False,confirmation
Chittaurgarh,India,24.92N,74.48E,43,1,1,True,0,False,False,confirmation
Cienfuegos,Cuba,21.70N,80.48W,27,12,12,True,0,False,False,confirmation
Cincinnati,United States,39.38N,85.32W,81,1,2,False,1,False,False,confirmation
Clearwater,United States,28.13N,82.73W,79,1,12,False,1,False,False,confirmation
Clermont Ferrand,France,45.81N,3.46E,97,1,1,True,0,False,False,confirmation
Cluj Napoca,Romania,47.42N,22.50E,97,1,1,True,0,False,False,confirmation
Cologne,Germany,50.63N,6.34E,97,1,1,True,0,False,False,confirmation
Colorado Springs,United States,39.38N,104.05W,29,12,2,False,2,False,False,confirmation
Columbia,United States,34.56N,81.73W,81,1,2,False,1,False,False,confirmation
Constanta,Romania,44.20N,29.07E,97,1,12,False,1,False,False,confirmation
Constantine,Algeria,36.17N,5.97E,97,1,1,True,0,False,False,confirmation
Copenhagen,Denmark,55.45N,11.34E,97,1,1,True,0,False,False,confirmation
Coral Springs,United States,26.52N,80.60W,70,1,12,False,1,False,False,confirmation
Cracow,Poland,50.63N,19.01E,97,1,1,True,0,False,False,confirmation
Cuddapah,India,15.27N,79.17E,43,2,1,False,1,False,False,confirmation
Córdoba,Spain,37.78N,4.07W,97,1,1,True,0,False,False,confirmation
Dabrowa Gornicza,Poland,50.63N,19.01E,97,1,1,True,0,False,False,confirmation
Damoh,India,23.31N,79.51E,43,1,1,True,0,False,False,confirmation
Darbhanga,India,26.52N,85.97E,43,1,1,True,0,False,False,confirmation
Darjiling,India,26.52N,87.76E,43,1,1,True,0,False,False,confirmation
Darmstadt,Germany,50.63N,8.87E,97,1,1,True,0,False,False,confirmation
Datong,China,40.99N,112.90E,28,2,12,False,2,False,False,confirmation
Daugavpils,Latvia,55.45N,25.51E,97,1,1,True,0,False,False,confirmation
Dawukou,China,39.38N,106.13E,28,2,12,False,2,False,False,confirmation
Dayton,United States,39.38N,83.24W,81,1,2,False,1,False,False,confirmation
Dehra Dun,India,29.74N,77.54E,38,3,1,False,2,False,False,confirmation
Delmas,Haiti,18.48N,72.68W,20,12,12,True,0,False,False,confirmation
Deoria,India,26.52N,84.18E,43,1,1,True,0,False,False,confirmation
Derby,United Kingdom,53.84N,1.36W,97,1,1,True,0,False,False,confirmation
Des Moines,United States,40.99N,93.73W,83,1,2,False,1,False,False,confirmation
Dewas,India,23.31N,76.02E,43,1,1,True,0,False,False,confirmation
Dharmavaram,India,15.27N,77.50E,43,1,1,True,0,False,False,confirmation
Dhule,India,20.09N,75.07E,43,1,1,True,0,False,False,confirmation
Didao,China,45.81N,130.38E,20,1,1,True,0,False,False,confirmation
Dindigul,India,10.45N,77.73E,43,2,7,False,5,False,False,confirmation
Dordrecht,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,confirmation
Dos Hermanas,Spain,37.78N,6.10W,97,1,1,True,0,False,False,confirmation
Duma,Syria,32.95N,37.34E,37,12,12,True,0,False,False,confirmation
Durg,India,21.70N,80.48E,43,1,1,True,0,False,False,confirmation
Durgapur,India,23.31N,86.50E,43,1,1,True,0,False,False,confirmation
Durrës,Albania,40.99N,19.17E,97,1,1,True,0,False,False,confirmation
Dzerzhinsk,Russia,57.05N,42.79E,97,1,12,False,1,False,False,confirmation
Edinburgh,United Kingdom,55.45N,2.83W,97,1,1,True,0,False,False,confirmation
Eindhoven,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,confirmation
Elblag,Poland,53.84N,20.45E,97,1,1,True,0,False,False,confirmation
Elista,Russia,45.81N,45.00E,68,2,12,False,2,False,False,confirmation
Elizabeth,United States,40.99N,74.56W,81,1,2,False,1,False,False,confirmation
Emmen,Netherlands,52.24N,7.88E,97,1,1,True,0,False,False,confirmation
Erlangen,Germany,49.03N,9.80E,97,2,1,False,1,False,False,confirmation
Erode,India,12.05N,77.26E,43,2,7,False,5,False,False,confirmation
Erzincan,Turkey,39.38N,39.54E,56,1,12,False,1,False,False,confirmation
Erzurum,Turkey,39.38N,41.62E,49,1,12,False,1,False,False,confirmation
Eskisehir,Turkey,39.38N,31.21E,95,1,1,True,0,False,False,confirmation
Espoo,Finland,60.27N,25.95E,97,1,1,True,0,False,False,confirmation
Essen,Germany,50.63N,6.34E,97,1,1,True,0,False,False,confirmation
Faridabad,India,28.13N,77.27E,43,3,1,False,2,False,False,confirmation
Firozabad,India,26.52N,78.81E,43,3,1,False,2,False,False,confirmation
Flint,United States,42.59N,82.91W,83,1,2,False,1,False,False,confirmation
Florence,Italy,44.20N,11.18E,97,1,1,True,0,False,False,confirmation
Focsani,Romania,45.81N,26.54E,97,1,12,False,1,False,False,confirmation
Foggia,Italy,40.99N,14.91E,97,1,1,True,0,False,False,confirmation
Fort Collins,United States,40.99N,104.38W,29,12,2,False,2,False,False,confirmation
Fuyu,China,45.81N,125.77E,29,1,1,True,0,False,False,confirmation
Galati,Romania,45.81N,28.85E,97,1,12,False,1,False,False,confirmation
Gangapur,India,26.52N,77.01E,43,2,1,False,1,False,False,confirmation
Garza García,Mexico,26.52N,100.30W,22,1,11,False,2,False,False,confirmation
Gaya,India,24.92N,85.12E,43,1,1,True,0,False,False,confirmation
Gdansk,Poland,53.84N,17.73E,97,1,1,True,0,False,False,confirmation
Gdynia,Poland,53.84N,17.73E,97,1,1,True,0,False,False,confirmation
General Escobedo,Mexico,26.52N,100.30W,22,1,11,False,2,False,False,confirmation
Gent,Belgium,50.63N,3.80E,97,1,1,True,0,False,False,confirmation
Ghaziabad,India,28.13N,77.27E,43,3,1,False,2,False,False,confirmation
Ghazipur,India,24.92N,83.35E,43,1,1,True,0,False,False,confirmation
Gijón,Spain,44.20N,6.71W,97,1,1,True,0,False,False,confirmation
Gillingham,United Kingdom,50.63N,1.27E,97,1,1,True,0,False,False,confirmation
Gliwice,Poland,50.63N,19.01E,97,1,1,True,0,False,False,confirmation
Gloucester,United Kingdom,52.24N,2.63W,97,2,1,False,1,False,False,confirmation
Gomel,Belarus,52.24N,31.53E,97,1,12,False,1,False,False,confirmation
Gonbad E Qabus,Iran,37.78N,54.92E,22,12,12,True,0,False,False,confirmation
Gonda,India,26.52N,82.39E,43,1,1,True,0,False,False,confirmation
Gorzow Wielkopolski,Poland,52.24N,15.77E,97,1,1,True,0,False,False,confirmation
Granada,Spain,37.78N,4.07W,97,1,1,True,0,False,False,confirmation
Grand Rapids,United States,42.59N,85.09W,83,1,2,False,1,False,False,confirmation
Greensboro,United States,36.17N,79.56W,81,1,2,False,1,False,False,confirmation
Groningen,Netherlands,53.84N,6.82E,97,1,1,True,0,False,False,confirmation
Guantánamo,Cuba,20.09N,75.07W,27,12,12,True,0,False,False,confirmation
Gudivada,India,16.87N,80.37E,43,2,1,False,1,False,False,confirmation
Gulbarga,India,16.87N,77.02E,43,1,1,True,0,False,False,confirmation
Gurgaon,India,28.13N,77.27E,43,3,1,False,2,False,False,confirmation
Guwahati,India,26.52N,91.34E,28,1,12,False,1,False,False,confirmation
Gwalior,India,26.52N,78.81E,43,3,1,False,2,False,False,confirmation
Gyor,Hungary,47.42N,17.76E,97,1,1,True,0,False,False,confirmation
Gyumri,Armenia,40.99N,44.73E,49,1,12,False,1,False,False,confirmation
Göttingen,Germany,52.24N,10.51E,97,1,1,True,0,False,False,confirmation
Haarlem,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,confirmation
Haarlemmermeer,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,confirmation
Habra,India,23.31N,88.25E,43,1,1,True,0,False,False,confirmation
Haibowan,China,39.38N,106.13E,28,2,12,False,2,False,False,confirmation
Hailun,China,47.42N,126.71E,29,1,1,True,0,False,False,confirmation
Haldia,India,21.70N,87.40E,43,1,1,True,0,False,False,confirmation
Halle,Germany,50.63N,11.41E,97,1,1,True,0,False,False,confirmation
Hamadan,Iran,34.56N,48.65E,24,1,12,False,1,False,False,confirmation
Hamilton,Canada,42.59N,80.73W,83,1,2,False,1,False,False,confirmation
Hapur,India,28.13N,77.27E,43,3,1,False,2,False,False,confirmation
Hardoi,India,26.52N,80.60E,43,1,1,True,0,False,False,confirmation
Hassan,India,13.66N,76.79E,43,1,7,False,6,False,False,confirmation
Hathras,India,28.13N,77.27E,43,3,1,False,2,False,False,confirmation
Hazaribag,India,23.31N,84.76E,43,1,1,True,0,False,False,confirmation
Hegang,China,47.42N,131.45E,20,1,1,True,0,False,False,confirmation
Heidelberg,Germany,49.03N,9.80E,97,2,1,False,1,False,False,confirmation
Heihe,Russia,50.63N,128.03E,29,1,1,True,0,False,False,confirmation
Heilbronn,Germany,49.03N,9.80E,97,2,1,False,1,False,False,confirmation
Hengshan,China,45.81N,130.38E,20,1,1,True,0,False,False,confirmation
Henzada,Burma,16.87N,95.44E,43,1,1,True,0,False,False,confirmation
Herne,Germany,52.24N,7.88E,97,1,1,True,0,False,False,confirmation
Hialeah,United States,26.52N,80.60W,70,1,12,False,1,False,False,confirmation
Hindupur,India,13.66N,76.79E,43,1,7,False,6,False,False,confirmation
Hohhot,China,40.99N,110.77E,28,2,1,False,1,False,False,confirmation
Holguín,Cuba,20.09N,76.78W,27,12,12,True,0,False,False,confirmation
Hollywood,United States,26.52N,80.60W,70,1,12,False,1,False,False,confirmation
Honggang,China,45.81N,125.77E,29,1,1,True,0,False,False,confirmation
Houston,United States,29.74N,96.00W,30,1,2,False,1,False,False,confirmation
Huangcun,China,39.38N,116.53E,27,2,12,False,2,False,False,confirmation
Hubli,India,15.27N,75.83E,43,1,1,True,0,False,False,confirmation
Huelva,Spain,37.78N,6.10W,97,1,1,True,0,False,False,confirmation
Hulan Ergi,China,47.42N,124.34E,29,1,1,True,0,False,False,confirmation
Huntsville,United States,34.56N,85.62W,81,1,2,False,1,False,False,confirmation
Hyderabad,India,16.87N,78.70E,43,2,1,False,1,False,False,confirmation
Hyderabad,Pakistan,24.92N,69.16E,41,3,1,False,2,False,False,confirmation
Iasi,Romania,47.42N,27.24E,97,1,12,False,1,False,False,confirmation
Idlib,Syria,36.17N,35.80E,55,12,12,True,0,False,False,confirmation
Independence,United States,39.38N,93.64W,74,1,2,False,1,False,False,confirmation
Indianapolis,United States,39.38N,85.32W,81,1,2,False,1,False,False,confirmation
Ingolstadt,Germany,49.03N,12.24E,97,1,1,True,0,False,False,confirmation
Ingraj Bazar,India,24.92N,88.67E,43,3,1,False,2,False,False,confirmation
Innsbruck,Austria,47.42N,10.66E,97,2,1,False,1,False,False,confirmation
Irbil,Iraq,36.17N,43.76E,35,12,12,True,0,False,False,confirmation
Iráklion,Greece,34.56N,25.30E,76,1,3,False,2,False,False,confirmation
Istanbul,Turkey,40.99N,29.82E,97,1,12,False,1,False,False,confirmation
Izhevsk,Russia,57.05N,54.59E,95,12,12,True,0,False,False,confirmation
Izmir,Turkey,37.78N,26.44E,97,1,1,True,0,False,False,confirmation
Jackson,United States,32.95N,90.96W,72,1,2,False,1,False,False,confirmation
Jacksonville,United States,29.74N,81.23W,81,2,12,False,2,False,False,confirmation
Jalna,India,20.09N,75.07E,43,1,1,True,0,False,False,confirmation
Jalpaiguri,India,26.52N,89.55E,41,1,1,True,0,False,False,confirmation
Jamalpur,Bangladesh,24.92N,90.44E,43,1,1,True,0,False,False,confirmation
Jamshedpur,India,23.31N,86.50E,43,1,1,True,0,False,False,confirmation
Jamuria,India,23.31N,86.50E,43,1,1,True,0,False,False,confirmation
Jaunpur,India,26.52N,82.39E,43,1,1,True,0,False,False,confirmation
Jersey City,United States,40.99N,74.56W,81,1,2,False,1,False,False,confirmation
Jerusalem,Israel,31.35N,35.81E,36,12,3,False,3,False,False,confirmation
Jetpur,India,21.70N,70.10E,41,1,1,True,0,False,False,confirmation
Jhansi,India,24.92N,78.03E,43,"1,2",1,True,0,True,False,confirmation
Jiamusi,China,47.42N,131.45E,20,1,1,True,0,False,False,confirmation
Jinxi,China,40.99N,121.42E,28,2,12,False,2,False,False,confirmation
Jiutai,China,44.20N,125.22E,28,12,1,False,1,False,False,confirmation
Jodhpur,India,26.52N,73.43E,43,3,1,False,2,False,False,confirmation
Joliet,United States,40.99N,87.34W,83,1,2,False,1,False,False,confirmation
Junagadh,India,21.70N,70.10E,41,1,1,True,0,False,False,confirmation
Kakinada,India,16.87N,82.05E,43,2,1,False,1,False,False,confirmation
Kaliningrad,Russia,55.45N,19.84E,97,1,1,True,0,False,False,confirmation
Kalisz,Poland,52.24N,18.39E,97,1,1,True,0,False,False,confirmation
Kalmunai,Sri Lanka,7.23N,81.89E,43,2,1,False,1,False,False,confirmation
Kalol,India,23.31N,72.52E,43,1,1,True,0,False,False,confirmation
Kaluga,Russia,53.84N,36.82E,97,1,12,False,1,False,False,confirmation
Kamyshin,Russia,50.63N,44.37E,95,2,12,False,2,False,False,confirmation
Kanchrapara,India,23.31N,88.25E,43,1,1,True,0,False,False,confirmation
Kanpur,India,26.52N,80.60E,43,1,1,True,0,False,False,confirmation
Kansas City,United States,39.38N,93.64W,74,1,2,False,1,False,False,confirmation
Karachi,Pakistan,24.92N,67.39E,39,2,12,False,2,False,False,confirmation
Karaj,Iran,36.17N,51.71E,22,1,12,False,1,False,False,confirmation
Karaman,Turkey,37.78N,32.54E,72,1,12,False,1,False,False,confirmation
Karlsruhe,Germany,49.03N,7.35E,97,1,1,True,0,False,False,confirmation
Karnal,India,29.74N,77.54E,38,3,1,False,2,False,False,confirmation
Kashipur,India,29.74N,79.38E,42,3,1,False,2,False,False,confirmation
Kathmandu,Nepal,28.13N,84.55E,43,1,1,True,0,False,False,confirmation
Katihar,India,24.92N,86.90E,43,1,1,True,0,False,False,confirmation
Kaunas,Lithuania,55.45N,22.68E,97,1,1,True,0,False,False,confirmation
Kecskemét,Hungary,47.42N,20.13E,97,1,1,True,0,False,False,confirmation
Kemerovo,Russia,55.45N,85.04E,29,1,1,True,0,False,False,confirmation
Kenitra,Morocco,34.56N,5.84W,97,1,1,True,0,False,False,confirmation
Kerch,Ukraine,45.81N,35.77E,97,1,12,False,1,False,False,confirmation
Kermanshah,Iran,34.56N,46.70E,26,12,12,True,0,False,False,confirmation
Khabarovsk,Russia,49.03N,134.69E,20,1,1,True,0,False,False,confirmation
Kharagpur,India,21.70N,87.40E,43,1,1,True,0,False,False,confirmation
Khimki,Russia,55.45N,36.85E,97,1,12,False,1,False,False,confirmation
Khoy,Iran,37.78N,44.75E,38,12,12,True,0,False,False,confirmation
Khulna,Bangladesh,23.31N,90.00E,43,1,1,True,0,False,False,confirmation
Kiel,Germany,53.84N,9.55E,97,1,1,True,0,False,False,confirmation
Kiev,Ukraine,50.63N,31.69E,97,1,12,False,1,False,False,confirmation
Killeen,United States,31.35N,98.01W,30,1,2,False,1,False,False,confirmation
Kingston,Jamaica,18.48N,76.06W,21,12,12,True,0,False,False,confirmation
